Track,Streams,USPeak,PeakDate,Time,AlbumNumber,Album
when the party's over,345.31,5,20190329,196,1,"when we all fall asleep, where do we go?"
lovely,287.13,24,20180621,200,0,single
bury a friend,244.46,3,20190201,193,1,"when we all fall asleep, where do we go?"
idontwannabeyouanymore,190.16,48,20190206,203,0,dont smile at me
ocean eyes,174.85,78,20190403,200,0,dont smile at me
bad guy,128.22,1,20190401,194,1,"when we all fall asleep, where do we go?"
bellyache,127.43,49,20181126,179,0,dont smile at me
wish you were gay,115.38,3,20190329,221,1,"when we all fall asleep, where do we go?"
you should see me in a crown,113.2,11,20190329,180,1,"when we all fall asleep, where do we go?"
come out and play,53.87,14,20181127,210,0,single
all the good girls go to hell,43.45,8,20190329,168,1,"when we all fall asleep, where do we go?"
xanny,40.31,7,20190329,243,1,"when we all fall asleep, where do we go?"
my strange addiction,36.41,10,20190329,179,1,"when we all fall asleep, where do we go?"
i love you,29.77,17,20190329,291,1,"when we all fall asleep, where do we go?"
ilomilo,29.69,18,20190329,156,1,"when we all fall asleep, where do we go?"
listen before i go,27.25,20,20190329,242,1,"when we all fall asleep, where do we go?"
eight,25.22,23,20190329,173,1,"when we all fall asleep, where do we go?"
